序号,代码,名称,文章数,概念1,概念2,概念3,概念4,概念5
345,600697,欧亚集团,1,旅游概念,物业管理,体育产业,跨境电商,冰雪产业
346,600702,舍得酒业,1,回购增持再贷款概念,白酒概念,沪股通,旅游概念,融资融券
347,600704,物产中大,1,一带一路,小米汽车,沪股通,储能,小金属概念
348,600729,重庆百货,1,小米汽车,沪股通,人工智能,融资融券,互联网金融
349,600732,爱旭股份,1,光伏概念,BC电池,TOPCON电池,沪股通,光伏建筑一体化
350,600756,浪潮软件,1,沪股通,AI智能体,智慧政务,AIGC概念,工业互联网
351,600759,洲际油气,1,一带一路,沪股通,海南自贸区,融资融券,人民币贬值受益
352,600764,中国海防,1,毫米波雷达,沪股通,军工,车联网(车路协同),风电
353,600773,西藏城投,1,沪股通,融资融券,锂电池概念,盐湖提锂,石墨烯
354,600775,卫星导航,2,沪股通,军工,新型工业化,人工智能,融资融券
355,600777,*ST新潮,1,ST板块,页岩气,人民币贬值受益,天然气,俄乌冲突概念
356,600787,中储股份,1,一带一路,沪股通,京津冀一体化,车联网(车路协同),融资融券
357,600798,宁波海运,1,一带一路,融资融券,航运概念,中俄贸易概念,国企改革
358,600802,福建水泥,1,融资融券,参股银行,核电,福建自贸区,海峡两岸
359,600809,山西汾酒,1,沪股通,白酒概念,融资融券,同花顺漂亮100,国企改革
360,600812,华北制药,1,维生素,肝炎概念,沪股通,生物疫苗,融资融券
361,600859,王府井,1,沪股通,京津冀一体化,融资融券,冰雪产业,抖音概念(字节概念)
362,600862,中航高科,1,创投,沪股通,军工,融资融券,中字头股票
363,600873,梅花生物,1,维生素,沪股通,生物疫苗,融资融券,参股银行
364,600886,国投电力,1,沪股通,央企国企改革,同花顺中特估100,融资融券,抽水蓄能
365,600889,5G-A,1,商业航天,机器人概念,沪股通,光刻机,人形机器人
366,600895,张江高科,1,创投,沪股通,融资融券,蚂蚁集团概念,数字乡村
367,600927,永安期货,1,沪股通,互联网金融,国企改革,期货概念,
368,600938,中国海油,1,沪股通,风电,中字头股票,融资融券,同花顺出海50
369,600967,内蒙一机,1,减速器,沪股通,军工,风电,储能
370,600970,中材国际,1,沪股通,风电,中字头股票,融资融券,同花顺出海50
371,600989,宝丰能源,1,POE胶膜,煤炭概念,沪股通,煤化工概念,DeepSeek概念
372,601001,晋控煤业,1,煤炭概念,沪股通,融资融券,国企改革,
373,601005,重庆钢铁,1,特钢概念,沪股通,央企国企改革,军工,风电
374,601006,大秦铁路,1,沪股通,同花顺中特估100,融资融券,证金持股,国企改革
375,601018,宁波港,1,沪股通,同花顺中特估100,融资融券,证金持股,自由贸易港
376,601059,信达证券,1,沪股通,央企国企改革,京津冀一体化,融资融券,国企改革
377,601069,西部黄金,1,沪股通,小金属概念,融资融券,黄金概念,2025年报预增
378,601081,陕西黑猫,1,制造业,,,,
379,601083,锦江航运,1,一带一路,沪股通,融资融券,中韩自贸区,2025三季报预增
380,601139,深圳燃气,1,光伏概念,数据中心,沪股通,华为数字能源,融资融券
381,601186,中国铁建,1,一带一路,水利,沪股通,融资融券,中字头股票
382,601212,白银有色,1,沪股通,融资融券,金属锌,可控核聚变,黄金概念
383,601298,青岛港,1,一带一路,沪股通,融资融券,中韩自贸区,DeepSeek概念
384,601377,兴业证券,1,沪股通,融资融券,证金持股,福建自贸区,海峡两岸
385,601530,神马电力,1,柔性直流输电,特高压,抽水蓄能,智能电网,核电
386,601588,北辰实业,1,回购增持再贷款概念,沪股通,物业管理,京津冀一体化,融资融券
387,601598,中国诚通控股集团,1,一带一路,沪股通,融资融券,中字头股票,其他-其他-其他
388,601601,中国太保,1,沪股通,同花顺中特估100,融资融券,蚂蚁集团概念,证金持股
389,601608,中信重工,1,减速器,一带一路,沪股通,军工,新型工业化
390,601616,AI 数据中心,1,绿色电力,充电桩,数据中心,智能电网,腾讯概念
391,601628,中国人寿,1,2025三季报预增,沪股通,同花顺中特估100,融资融券,中字头股票
392,601686,福龙马,1,沪股通,水利,车联网(车路协同),动力电池回收,人工智能
393,601816,京沪高铁,1,沪股通,同花顺中特估100,融资融券,国企改革,高铁
394,601865,福莱特,1,光伏概念,一带一路,沪股通,长三角一体化,融资融券
395,601877,正泰电器,1,光伏概念,数据中心,一带一路,沪股通,人工智能
396,601881,中国银河,1,沪股通,同花顺中特估100,融资融券,中字头股票,证金持股
397,601898,中煤能源,1,沪股通,融资融券,中字头股票,化肥,煤炭概念
398,601933,永辉超市,1,沪股通,融资融券,福建自贸区,腾讯概念,预制菜
399,601969,海南矿业,1,创投,沪股通,旅游概念,黄金概念,土壤修复
400,601995,中金公司,1,沪股通,同花顺中特估100,融资融券,中字头股票,2025年报预增
401,603015,弘讯科技,1,沪股通,新型工业化,风电,储能,工业互联网
402,603017,低空经济,1,数据中心,一带一路,新型工业化,建筑装饰-建筑装饰-工程咨询服务,数字孪生
403,603018,华设集团,1,毫米波雷达,数据中心,沪股通,车联网(车路协同),雅下水电概念
404,603023,威帝股份,1,车联网(车路协同),无人驾驶,智能座舱,新能源汽车,EDR概念
405,603026,石大胜华,1,沪股通,锂电,融资融券,宁德时代概念,氟化工概念
406,603027,千禾味业,1,沪股通,西部大开发,融资融券,,
407,603032,德新科技,1,2025三季报预增,减速器,机器人概念,固态电池,融资融券
408,603063,禾望电气,1,光伏概念,沪股通,智能电网,风电,融资融券
409,603079,圣达生物,1,医疗,2025年报预增,合成生物,维生素,专精特新
410,603097,江苏华辰,1,光伏概念,数据中心,军工,风电,储能
411,603125,高端光刻胶材料,1,化工,风电,沪股通,融资融券,
412,603128,华贸物流,1,一带一路,沪股通,融资融券,比亚迪概念,阿里巴巴概念
413,603131,上海沪工,1,沪股通,军工,新型工业化,人民币贬值受益,专精特新
414,603138,海量数据,2,数据中心,华为鲲鹏,人工智能,融资融券,横琴新区
415,603160,汇顶科技,1,AI应用,沪股通,电子纸,长安汽车概念,新能源汽车
416,603167,渤海轮渡,1,回购增持再贷款概念,融资融券,高股息精选,航运概念,国企改革
417,603193,润本股份,1,沪股通,融资融券,C2M概念,三胎概念,
418,603232,量子科技,1,云计算,一带一路,军工,车联网(车路协同),专精特新
419,603235,天新药业,1,人民币贬值受益,维生素,沪股通,医药生物-化学制药-原料药,
420,603267,鸿远电子,1,沪股通,军工,京津冀一体化,共封装光学(CPO),融资融券
421,603290,斯达半导,1,光伏概念,数据中心,沪股通,融资融券,人民币贬值受益
422,603305,旭升集团,1,减速器,小米汽车,沪股通,汽车热管理,融资融券
423,603345,安井食品,1,预制菜,沪股通,融资融券,福建自贸区,海峡两岸
424,603367,辰欣药业,1,仿制药一致性评价,肝炎概念,创新药,沪股通,眼科医疗
425,603368,柳药集团,1,肝炎概念,沪股通,人工智能,融资融券,创新药
426,603369,今世缘,1,回购增持再贷款概念,沪股通,白酒概念,融资融券,国企改革
427,603416,信捷电气,1,机器人概念,沪股通,新型工业化,人形机器人,融资融券
428,603456,九洲药业,1,沪股通,人工智能,融资融券,合成生物,人民币贬值受益
429,603458,勘设股份,1,ETC,一带一路,水利,充电桩,智慧城市
430,603506,南都物业,1,机器人概念,物业管理,长三角一体化,2025年报预增,养老概念
431,603511,爱慕股份,1,沪股通,参股银行,体育产业,三胎概念,跨境电商
432,603533,掌阅科技,1,AI应用,文化传媒概念,沪股通,短剧游戏,人工智能
433,603569,长久物流,1,一带一路,沪股通,动力电池回收,数据要素,储能
434,603579,荣泰健康,1,沪股通,人工智能,Web3.0,脑机接口,人民币贬值受益
435,603586,金麒麟,1,2025年报预增,人民币贬值受益,新能源汽车,比亚迪概念,汽车-汽车零部件-底盘与发动机系统
436,603605,珀莱雅,1,沪股通,融资融券,共同富裕示范区,,
437,603619,中曼石油,1,回购增持再贷款概念,机器人概念,一带一路,沪股通,海工装备
438,603666,亿嘉和,1,沪股通,新型工业化,专精特新,AIGC概念,ChatGPT概念
439,603678,火炬电子,1,创投,沪股通,军工,5G,人工智能
440,603703,商业航天,1,商业航天,家用电器,数据中心,军工,车联网(车路协同)
441,603767,中马传动,1,减速器,沪股通,共同富裕示范区,乡村振兴,长安汽车概念
442,603811,诚意药业,1,仿制药一致性评价,回购增持再贷款概念,维生素,肝炎概念,流感
443,603818,曲美家居,1,人民币贬值受益,智能家居,海峡两岸,京津冀一体化,消费
444,603858,步长制药,1,肝炎概念,沪股通,生物疫苗,融资融券,医疗器械概念
445,603859,能科科技,2,AI应用,沪股通,东数西算(算力),军工,新型工业化
446,603882,金域医学,1,AI应用,沪股通,AI智能体,AIGC概念,细胞免疫治疗
447,603906,龙蟠科技,5,数据中心,一带一路,沪股通,液冷服务器,动力电池回收
448,603929,亚翔集成,1,沪股通,柔性屏(折叠屏),芯片概念,OLED,长三角一体化
449,603931,格林达,1,光刻胶,沪股通,芯片概念,OLED,
450,603948,建业股份,1,光伏概念,芯片概念,共同富裕示范区,中俄贸易概念,
451,603955,大千生态,1,机器人概念,宠物经济,旅游概念,碳中和,PPP概念
452,603956,威派格,1,AI应用,水利,新型工业化,人工智能,数字孪生
453,603983,丸美生物,1,沪股通,DeepSeek概念,合成生物,重组蛋白,
454,603992,松霖科技,1,机器人概念,沪股通,人形机器人,C2M概念,福建自贸区
455,605008,长鸿高科,1,可降解塑料,沪股通,,,
456,605099,共创草坪,1,沪股通,体育产业,足球概念,人民币贬值受益,
457,605133,嵘泰股份,1,沪股通,比亚迪概念,新能源汽车,特斯拉概念,机器人概念
458,605208,永茂泰,1,减速器,一带一路,汽车热管理,融资融券,长安汽车概念
459,605287,德才股份,1,AI应用,文化传媒概念,短剧游戏,AIGC概念,回购增持再贷款概念
460,605300,佳禾食品,1,预制菜,创投,沪股通,跨境电商,代糖概念
461,605305,中际联合,1,沪股通,京津冀一体化,风电,融资融券,2025年报预增
462,605399,晨光新材,1,融资融券,硅能源,专精特新,有机硅概念,
463,605499,东鹏饮料,1,沪股通,数字经济,消费,粤港澳大湾区,融资融券
464,605588,冠石科技,1,苹果概念,消费电子概念,华为手机,柔性屏(折叠屏),芯片概念
465,688023,安恒信息,1,AI应用,云计算,沪股通,车联网(车路协同),AI智能体
466,688039,当虹科技,1,AI应用,文化传媒概念,沪股通,AI PC,专精特新
467,688085,三友医疗,1,机器人概念,沪股通,融资融券,2025年报预增,专精特新
468,688088,虹软科技,1,AI应用,沪股通,长安汽车概念,AIGC概念,多模态AI
469,688103,国力电子,1,沪股通,军工,培育钻石,融资融券,可控核聚变
470,688107,安路科技,1,数据中心,沪股通,5G,融资融券,F5G概念
471,688116,天奈科技,1,沪股通,融资融券,宁德时代概念,高压快充,储能
472,688151,华强科技,1,沪股通,军工,融资融券,兵装重组概念,专精特新
473,688152,麒麟信安,1,融资融券,网络安全,专精特新,信创,华为鲲鹏
474,688157,松井股份,1,小米汽车,沪股通,专精特新,比亚迪概念,新能源汽车
475,688162,巨一科技,1,减速器,小米汽车,新型工业化,融资融券,长安汽车概念
476,688169,石头科技,1,家用电器,沪股通,人工智能,融资融券,人民币贬值受益
477,688201,信安世纪,2,车联网(车路协同),专精特新,AI智能体,电子身份证,华为昇腾
478,688206,概伦电子,1,沪股通,芯片概念,融资融券,股权转让(并购重组),专精特新
479,688246,嘉和美康,1,AI应用,数据中心,人工智能,融资融券,数据要素
480,688249,晶合集成,1,沪股通,融资融券,量子科技,MicroLED概念,消费电子概念
481,688272,红外热成像,1,机器人概念,军工,卫星导航,芯片概念,车联网(车路协同)
482,688277,天智航,2,机器人概念,沪股通,机器人,融资融券,专精特新
483,688289,圣湘生物,1,创投,一带一路,肝炎概念,宠物经济,沪股通
484,688331,荣昌生物,1,沪股通,创新药,细胞免疫治疗,眼科医疗,融资融券
485,688350,富淼科技,1,污水处理,融资融券,盐湖提锂,专精特新,氢能源
486,688361,中科飞测,1,先进封装,沪股通,芯片概念,融资融券,存储芯片
487,688363,华熙生物,1,创新药,沪股通,医美概念,融资融券,2025年报预增
488,688385,复旦微电,1,无线充电,沪股通,东数西算(算力),芯片概念,人工智能
489,688390,固德威,1,光伏概念,回购增持再贷款概念,沪股通,光伏建筑一体化,虚拟电厂
490,688396,华润微,1,数据中心,沪股通,储能,比亚迪概念,新能源汽车
491,688408,中信博,1,光伏概念,机器人概念,一带一路,沪股通,光伏建筑一体化
492,688469,芯联集成,1,数据中心,沪股通,储能,比亚迪概念,特高压
493,688503,聚和材料,1,光伏概念,BC电池,沪股通,液冷服务器,5G
494,688520,神州细胞,1,沪股通,创新药,生物疫苗,融资融券,百度概念
495,688526,科前生物,1,沪股通,宠物经济,生物疫苗,融资融券,禽流感
496,688528,秦川物联,1,融资融券,汽车电子,智慧城市,股权转让(并购重组),长安汽车概念
497,688529,豪森智能,1,小米汽车,新型工业化,长安汽车概念,比亚迪概念,新能源汽车
498,688530,半导体,1,光伏概念,MicroLED概念,电子-半导体-半导体材料,MiniLED,芯片概念
499,688535,华海诚科,1,光伏概念,先进封装,沪股通,融资融券,专精特新
500,688545,电子级磷酸,1,光刻胶,沪股通,芯片概念,融资融券,独角兽概念
501,688558,国盛智科,1,商业航天,机器人概念,高端装备,新型工业化,人形机器人
502,688567,孚能科技,1,数据中心,沪股通,动力电池回收,融资融券,储能
503,688585,上纬新材,1,机器人概念,一带一路,沪股通,风电,融资融券
504,688596,正帆科技,1,光伏概念,沪股通,融资融券,储能,合成生物
505,688615,合合信息,1,AI应用,沪股通,人工智能,融资融券,数据要素
506,688617,惠泰医疗,1,沪股通,融资融券,专精特新,医疗器械概念,
507,688656,浩欧博,1,融资融券,沪股通,,,
508,688686,奥普特,1,AI应用,苹果概念,沪股通,融资融券,机器人概念
509,688690,纳微科技,1,2025年报预增,食品安全,沪股通,专精特新,融资融券
510,801801,华新水泥,1,其他-其他-其他,,,,
511,831087,秋乐种业,1,乡村振兴,粮食概念,农业种植,大豆,玉米
512,831779,天和磁材,1,稀土永磁,西部大开发,机器人概念,人形机器人,新能源汽车
513,832149,利尔达,1,抖音概念(字节概念),汽车芯片,无人驾驶,电力物联网,智能物流
514,833171,国航远洋,1,福建自贸区,融资融券,低空经济,人民币贬值受益,航运概念
515,835207,众诚科技,1,科技,,,,
516,837092,汉鑫科技,1,科技,,,,
517,839493,并行科技,1,科技,,,,
518,857352,光伏电池组件指数,1,新能源,,,,
519,858702,地下管网指数,1,其他-其他-其他,,,,
520,872351,华光源海,1,融资融券,中韩自贸区,一带一路,航运概念,跨境电商
521,920158,电脱设备,1,新股与次新股,一带一路,其他,海工装备,融资融券
522,920665,商业航天,1,光伏概念,商业航天,军工,融资融券,海峡两岸
523,931140,指数,1,其他,,,,
